Username,Profile URL,Latitude,Longitude,Google Maps,Tweet
slimbojimboyo,https://twitter.com/slimbojimboyo,40.0194,-105.259,"https://maps.google.com/?q=40.0194,-105.259","b'Portrait of my cousin Danny from our Colorado trip a few weeks ago ?? @ Boulder, Colorado https://t.co/qMMseLIBgU'"

BiggieSmaldon,https://twitter.com/BiggieSmaldon,39.99877009,-105.28346568,"https://maps.google.com/?q=39.99877009,-105.28346568",b'Much needed change of scenery | #colorado @ Chautauqua Trail https://t.co/DTx7pYOadV'


tomweaver67,https://twitter.com/tomweaver67,40.0175,-105.283,"https://maps.google.com/?q=40.0175,-105.283",b'Drinking a Hop Grog Exotic IPA by @oskarblues @ Oskar Blues Boulder Taproom ? https://t.co/3PA7qaLQLc'
tmj_COB_gensci,https://twitter.com/tmj_COB_gensci,40.0149856,-105.2705456,"https://maps.google.com/?q=40.0149856,-105.2705456","b'See our latest #Boulder, CO job and click to apply: Phlebotomist - https://t.co/cd9fYx0eai #GeneralScience'"
tmj_cob_web,https://twitter.com/tmj_cob_web,40.0149856,-105.2705456,"https://maps.google.com/?q=40.0149856,-105.2705456","b'Nervous to apply for a job like ""Senior Software Engineer ? Node.js / JavaScript"" at Cognizant? Apply even if you\'r? https://t.co/Ir9EtRDp8k'"
tmj_cob_secure,https://twitter.com/tmj_cob_secure,40.0149856,-105.2705456,"https://maps.google.com/?q=40.0149856,-105.2705456","b'Allied Universal is looking for teammates like you. See our latest Event Security job openings, including ""Event Se? https://t.co/wUUOrPzDWX'"
tmj_COB_gensci,https://twitter.com/tmj_COB_gensci,40.0149856,-105.2705456,"https://maps.google.com/?q=40.0149856,-105.2705456","b""Looking to score a job at LabCorp? You're in luck. Click the link in our bio for the job description and informatio? https://t.co/CpkjOV06EX"""
thehillboulder,https://twitter.com/thehillboulder,40.0080375,-105.27665012,"https://maps.google.com/?q=40.0080375,-105.27665012",b'Just posted a photo @ The Fox Theatre https://t.co/gWKYW9fOVz'
tmj_cob_secure,https://twitter.com/tmj_cob_secure,40.0149856,-105.2705456,"https://maps.google.com/?q=40.0149856,-105.2705456","b'If you?re looking for work in #Boulder, CO, take a look at this exciting new opportunity: https://t.co/YkPnGbMfwd #security'"
AJPruess,https://twitter.com/AJPruess,40.01787,-105.27023,"https://maps.google.com/?q=40.01787,-105.27023",b'Fall fun fest. #fallcolors #nederland #colorado @ Caribou Ranch Open Space https://t.co/WvpWTaiY3r'
Girl_GoneGlobal,https://twitter.com/Girl_GoneGlobal,40.01685,-105.28346,"https://maps.google.com/?q=40.01685,-105.28346","b""Just posted a photo @ Farfel's Farm https://t.co/qqPDE9gZmY"""
Girl_GoneGlobal,https://twitter.com/Girl_GoneGlobal,40.01685,-105.28346,"https://maps.google.com/?q=40.01685,-105.28346","b""Just posted a photo @ Farfel's Farm https://t.co/qqPDE9gZmY"""
coreykohn,https://twitter.com/coreykohn,40.01985,-105.27341,"https://maps.google.com/?q=40.01985,-105.27341",b'#sayhername #herlifematters @ dojo4 https://t.co/2shfqieRpD'
CClarke1968,https://twitter.com/CClarke1968,40.01994,-105.27149,"https://maps.google.com/?q=40.01994,-105.27149",b'Just posted a photo @ Food Lab https://t.co/N4wUmYW1MA'
Djec2140,https://twitter.com/Djec2140,40.0175,-105.283,"https://maps.google.com/?q=40.0175,-105.283",b'Hoppy deliciousness - Drinking a Pseudo Sue by @TGBrews @ Oskar Blues Boulder Taproom  ? https://t.co/6934N0pYlV'
makemineacosmo,https://twitter.com/makemineacosmo,40.01545368,-105.27720542,"https://maps.google.com/?q=40.01545368,-105.27720542",b'Lovely Saturday afternoon with @thetravelingtacos having tea! @ Boulder Teahouse https://t.co/XoDsNHR1fP'
hoponboat,https://twitter.com/hoponboat,40.01862,-105.28063,"https://maps.google.com/?q=40.01862,-105.28063",b'Rex goes shopping at Umba &amp; finally meets mama Lonna ?????? #umbalove #therexfiles #shop #pearlstreet #boulder? https://t.co/BGzCG2vH0w'
cheryl303,https://twitter.com/cheryl303,40.01562651,-105.27869842,"https://maps.google.com/?q=40.01562651,-105.27869842","b'Art (@ Boulder Bandshell in Boulder, CO) https://t.co/7dWpyiWaQP https://t.co/TQczQyaLdu'"
